work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Cadre supérieur,Head of Data,États-Unis,262839.15
2025,Senior,Data Scientist,États-Unis,109655.83333333333
2025,Intermédiaire,Engineer,États-Unis,120666.66666666667
2025,Senior,AI Product Lead,États-Unis,131979.1666666667
2025,Senior,AI Engineer,États-Unis,73832.91666666667
2025,Senior,Business Intelligence Engineer,États-Unis,136127.08333333334
2025,Senior,Manager,États-Unis,173458.33333333334
2025,Senior,Computer Vision Engineer,États-Unis,188541.66666666666
2025,Cadre supérieur,Data Management,États-Unis,165765.83333333334
2025,Senior,Product Manager,États-Unis,156112.50000000003
2025,Senior,Data Engineer,États-Unis,150833.33333333334
2025,Senior,Machine Learning Engineer,États-Unis,168179.1666666667
2025,Senior,Software Engineer,États-Unis,150833.33333333334
2025,Senior,Data Scientist,Canada,125191.66666666669
2025,Intermédiaire,Data Analyst,États-Unis,103170.0
2025,Intermédiaire,Research Scientist,États-Unis,84468.92916666667
2025,Senior,Developer,États-Unis,128208.33333333336
2025,Intermédiaire,Associate,États-Unis,110183.75
2025,Intermédiaire,Computational Scientist,États-Unis,131375.83333333334
2025,Senior,Analyst,États-Unis,64104.16666666668
2025,Senior,AI Scientist,États-Unis,232283.33333333334
2025,Senior,AI Scientist,Canada,203247.91666666666
2025,Débutant,DataOps Engineer,Pays-Bas,58615.341666666674
2025,Intermédiaire,Prompt Engineer,États-Unis,109655.83333333333
2025,Senior,Data Governance Engineer,Canada,131964.08333333334
2025,Senior,Analytics Engineer,États-Unis,95025.0
2025,Senior,AI Governance Specialist,États-Unis,107091.66666666667
2025,Senior,Backend Engineer,États-Unis,209846.875
2025,Senior,DevOps Engineer,États-Unis,165916.6666666667
2025,Senior,Systems Engineer,États-Unis,123683.33333333336
2025,Senior,Tech Lead,États-Unis,150833.33333333334
2025,Senior,Solutions Engineer,États-Unis,100869.79166666667
2025,Débutant,Analyst,France,56223.87916666667
2025,Intermédiaire,Engineer,Royaume-Uni,66824.44583333335
2025,Senior,Associate,Canada,99550.0
